Key,說明,zh-tw,zh-cn,en-us,th-th,ko-kr,my-mm,id-id,vi-vn,ja-jp,ms-my,es-es,lo-lao
Duchang_6,TH-78,皇家Myawaddy Club館，位於緬甸．苗瓦迪（Mayawady），與泰國僅隔一條湄河，具泰緬邊境，經濟上的重要地理位置。<br />該賭場名稱為Mayawady Complex，是當地歷史悠久的賭場，是購物、住宿、賭博兼具的賭場，角子機、百家樂、21點、骰寶、輪盤，賓果遊戲，多款博奕遊戲可供選擇。<br />,皇家Myawaddy Club馆，位于缅甸．苗瓦迪（Mayawady），与泰国仅隔一条湄河，具泰缅边境，经济上的重要地理位置。<br />该赌场名称为Mayawady Complex，是当地历史悠久的赌场，是购物、住宿、赌博兼具的赌场，角子机、百家乐、21点、骰宝、轮盘，宾果游戏，多款博奕游戏可供选择。,"Royal .Myawaddy Club Locate in , Myanmar. Mayawady , just across the Mekong River from Thailand , has an economically important geographical location along the Thai-Myanmar border . The casino name is . Mayawady Complex a local historic casino, shopping, accommodation, gambling casino, slot machine, baccarat, black jack, Sic Bo, roulette, bingo games, variety of winning games to choose from.",สถานที่รอยัล Myawaddy Club ตั้งอยู่ในประเทศพม่า Myawaddy เพียงข้ามแม่น้ำจากประเทศไทยและชายแดนระหว่างไทยกับพม่าเป็นสถานที่สำคัญทางเศรษฐกิจ ชื่อของคาสิโนคือ Myawaddy Complex เป็นคาสิโนในท้องถิ่นที่มีประวัติอันยาวนานเป็นคาสิโนที่มีแหล่งช้อปปิ้ง ที่พัก และการพนัน คาสิโนนี้มีสล็อต บาคาร่า แบล็กแจ็ก ไฮโล รูเล็ต ปิงโกและเกมคาสิโนที่หลากหลายมีให้บริการ,"미얀마 먀와디(Mayawady)에 있는 로열 Myawaddy Club 관은 메콩강 건너편이 태국이여서 태국-미얀마 국경에 위치한 중요한 경제적인 위치에 있습니다. 스타콤플렉스 캐시노(Star Complex Casino)라는 카지노는 오랜 역사를 지닌 지역 카지노로 쇼핑, 숙박, 도박을 할 수있는 카지노로 슬롯 머신, 바카라, 블랙 잭, 주사위, 룰렛, 빙고 등 다양한 카지노 게임을 선택하여 즐길 수 있습니다.",ေတာ်ဝင်Myawaddy Clubတိုက်မှာြမန်မာနိုင်ငံ ြမဝတီ（Mayawady）တွင်တည်ရှိသည်။ထိုင်းနိုင်ငံနှင့်မွဲြမစ်တစ်ခုသာကွာေဝးသည့်ထိုင်းြမန်မာနယ်စပ်ြဖစ်သည်။စီးပွားေရးေပါ်၌အေရးြကီးေသာပထဝီေနရာြဖစ်သည်။ယင်းေလာင်းကစားပွဲရုံအမည်မှာ Mayawady Complex လုို့ေခါ်သည်။သမိုင်းဝင်ြကာရှည်တဲ့ေလာင်းကစားပွဲရုံြဖစ်သည်။ ေစျးဝယ်ြခင်း၊ ေနရာထိုင်ခင်းနှင့်ေလာင်းကစားးရှိသည့်ေလာင်းကစားရုံြဖစ်သည်။စစ်(စ်)ေလာ့၊ဘာ့ခရာ့၊၂၁ေပါက်၊ဆစ်ဘို၊သံုးဆယ့်ေြခာက်ေကာင်၊ဘင်ဂိုဂိမ်းစသြဖင့်ေလာင်းကစားဂိမး်အများအြပားကိုေရွးချယ်ရန်ေထာက်ပံ့ထားသည်။,"Myawaddy Club Royal terletak di Mayawady Myanmar, hanya terpisah dengan Thailand oleh Sungai Mekong, yang merupakan perbatasan Thailand-Myanmar dan lokasi yang penting secara ekonomi. <br /> Nama kasino tersebut adalah Mayawady Complex. Ini adalah kasino bersejarah tempat orang berbelanja, tinggal, dan berjudi. Ada banyak permainan yang dapat dipilih seperti mesin slot, bakarat, blackjack, sic bo, rolet, dan bingo. <br />","Royal Myawaddy Club Pavilion, nằm ở Myanmar. Mayawady (Mayawady), ngăn cách với Thái Lan bởi sông Mee, có biên giới Thái Lan-Myanmar, và là một vị trí kinh tế quan trọng.<br />Tên của sòng bạc là Mayawady Complex, là sòng bạc địa phương có lịch sử lâu đời, là nơi mua sắm, nơi ở và đánh bạc, có sẵn các máy đánh bạc, baccarat, blackjack, sic bo, roulette, bingo, nhiều trò chơi sòng bạc khác nhau để người chơi có nhiều sự lựa chọn.",ミャンマーのマワディにあるロイヤルMyawaddy Club パビリオンは、ミー川によってタイから隔てられている、タイとミャンマーの国境近くの、経済的に大切な場所に位置します。マワディコンプレックスと名付けられており、長い歴史を持つカジノです。ショッピング、宿泊、ギャンブルを楽しむことができます。,"Royal Myawaddy Club terletak di Mayawady, Myanmar, bersebelahan dengan Thailand di seberang Sungai Mekong. Ia terletak di sempadan penting antara Thailand dan Myanmar, dari segi ekonomi. <br />Kasino ini dikenali sebagai Mayawady Complex dan merupakan kasino yang bersejarah di kawasan tersebut. Ia menyediakan perkhidmatan beli-belah, penginapan, dan perjudian. Terdapat pelbagai permainan seperti mesin slot, Baccarat, 21 Blackjack, Dadu Sic Bo, Roulette, permainan Bingo, dan pelbagai permainan judi lain untuk dipilih.<br />","El Royal Myawaddy Club se encuentra en Birmania-Mayawady solo está separada de Tailandia por el río Mekong, con la ubicación económica importante en la frontera entre Tailandia y Birmania. <br />El nombre del casino es Mayawady Complex. Es un casino con una larga historia en el lugar, con tiendas, alojamiento y apuestas. Hay varios juegos de casino para elegir. <br />",ສະຖານທີ່ຣໍຍັລ Myawaddy Club ຕັ້ງຢູ່ໃນປະເທດມຽນມ້າ Myawaddy ພຽງຂ້າມແມ່ນ້ຳຈາກປະເທດໄທແລະຊາຍແດນລະຫວ່າງໄທກັບມຽນມ້າເປັນສະຖານທີ່ສຳຄັນທາງເສດຖະກິດ ຊື່ຂອງຄາສິໂນຄື Myawaddy Complex ເປັນຄາສິໂນໃນທ້ອງຖິ່ນທີ່ມີປະຫວັດອັນຍາວນານເປັນຄາສິໂນທີ່ມີແຫຼ່ງຊອປປິ້ງ ແລະ ການພະນັນ ຄາສິໂນນີ້ມີສະລ໋ອດ ບາຄາຣ່າ ແບລັກແຈັກ ໄຮໂລ ຣູເລັດ ປິງໂກ ແລະເກມຄາສິໂນທີ່ຫຼາກຫຼາຍມີໃຫ້ບໍລິການ
Error_Date,TH-79,錯誤的日期格式!,錯誤的日期格式!,Incorrect date format,รูปแบบเวลาผิด,오류의 일자 방식!,မွားယြင္းေသာရက္စြဲပံုစံ,Format tanggal yang salah!,Định dạng ngày tháng bị sai!,データフォーマットが正しくない！,silap format tarikh,¡Formato de fecha incorrecto!,ຮູບແບບເວລາຜິດ
Error_Date1,TH-80,錯誤的日期格式!,錯誤的日期格式!,Incorrect date format,รูปแบบเวลาผิด,오류의 일자 방식!,မွားယြင္းေသာရက္စြဲပံုစံ,Format tanggal yang salah!,Định dạng ngày tháng bị sai!,データフォーマットが正しくない！,silap format tarikh,¡Formato de fecha incorrecto!,ຮູບແບບເວລາຜິດ
EventNews,TH-81,活動消息,活动消息,Event News,ข่าวกิจกรรม,,,,,,,,
FSTanII,TH-82,唐伯虎點秋香2,唐伯虎点秋香2,Flirting Scholar Tang II,ถังไป่หู่2,당백호점추향 II,ထန္ေပၚဟူနွင္႔ခ်ဳပ္ရမ္း 2,Flirting Scholar Tang II,Đường Bách Hổ Đốt Hương Thu 2,唐伯虎点秋香2,Autumn Passion 2,Flirting Scholar Tang II,ຖັງໄປ່ຫູ່ 2
FeaturedGames,TH-83,特色遊戲,特色游戏,Featured games,ฟีเจอร์ เกม,특색 게임,အသားေပး ဂိမ်း,Game unggulan,Trò chơi Nổi bật,特色 ゲーム,Permainan istimewa,Juegos destacados,ຟີເຈີເກມ
GClubTips4,TH-84,若有遊戲操作問題，請聯繫在線客服,若有游戏操作问题，请联系在线客服,If there is any problem with the playing of the game Please contact online customer service.,หากมีปัญหาใดๆเกี่ยวกับการใช้งานเกมส์ โปรดติดต่อฝ่ายบริการลูกค้าออนไลน์,If there is any problem with the playing of the game Please contact online customer service.,If there is any problem with the playing of the game Please contact online customer service.,If there is any problem with the playing of the game Please contact online customer service.,If there is any problem with the playing of the game Please contact online customer service.,If there is any problem with the playing of the game Please contact online customer service.,"Jika menghadapi masalah operasi permainan,sila berhubung dengan perkhidmatan pelanggan.","Si tiene algún problema con el funcionamiento del juego, comuníquese con el servicio al cliente en línea",ຖ້າມີປັນຫາໃດໆ ກ່ຽວກັບການໃຊ້ງານເກມ ໂປດຕິກຕໍ່ຝ່າຍບໍລິການລູກຄ້າອອນໄລນ໌
GClubTips5,TH-85,刷新後餘額若還是錯誤，請點擊下方重新檢查餘額功能，系統將會為您重新計算。,刷新后余额若还是错误，请点击下方重新检查余额功能，系统将会为您重新计算。,"If the balance is incorrect after refreshing, please click below to recheck the balance function. And the system will calculate for you again.",หลังจากรีเฟรชหากยอดคงเหลือไม่ถูกต้อง โปรดคลิกด้านล่างเพื่อตรวจสอบที่ฟังก์ชันยอดเงินคงเหลือ และระบบจะทำการคำนวณให้คุณใหม่อีกครั้ง,"If the balance is incorrect after refreshing, please click below to recheck the balance function. And the system will calculate for you again.","If the balance is incorrect after refreshing, please click below to recheck the balance function. And the system will calculate for you again.","If the balance is incorrect after refreshing, please click below to recheck the balance function. And the system will calculate for you again.","If the balance is incorrect after refreshing, please click below to recheck the balance function. And the system will calculate for you again.","If the balance is incorrect after refreshing, please click below to recheck the balance function. And the system will calculate for you again.","Jika masih mengalami masalah selepas refresh baki,sila tekan fungsi menyemak semula baki di bawah,sistem akan mengira semula undtuk anda","Si el saldo sigue siendo incorrecto después de actualizar, haga clic en la función de volver a verificar el saldo a continuación y el sistema se lo volverá a calcular.",ຫຼັງຈາກຣີເຟຊຖ້າຍອດຄົງເຫຼືອບໍ່ຖືກຕ້ອງ ໂປດຄລິກດ້ານລຸ່ມເພື່ອກວດສອບທີ່ຟັງຊັ່ນຍອດເງິນຄົງເຫຼືອ ແລະ ລະບົບຈະດຳເນີນການຄຳນວນໃຫ້ທ່ານໃໝ່ອີກຄັ້ງ
G_Name_12Ball,TH-86,十二球,十二球,12Ball,ลูกบอล12,12볼,12 လံုး,12 Bola,12 Quả Bóng,12ボール,,,
G_Name_28Gang,TH-87,28杠,28杠,28杠,28杠,28바,28 ဘား,28-bar ; Crazy Pai Gow,28 thanh,28バー,,,
G_Name_2PMahjong,TH-88,二人麻將,二人麻將,Mahjong,ไพ่นกกระจอกสำหรับสองคน,2 인 마작,မာဂျင်,Mahjong,Mahjong,Mahjong,Mahjong,Mahjong de dos jugadores,ໄພ້ນົກກະຈອກສຳລັບສອງຄົນ
G_Name_3DAnimal,TH-89,動物王國,动物王国,Animal Kingdom,ราชาสัตว์ป่า,동물의 왕국,တိရိစာၦန္အင္ပါယာ,Kerajaan Binatang,Vương Quốc Động Vật,動物王国,,,
G_Name_3DCar,TH-90,3D賽車,3D赛车,3D Racing,รถแข่ง,3D 레이스카,3D ၿပိဳင္ကား,Balap Mobil 3D,Đua Xe 3D,3Ｄスピート,,,
G_Name_3DCircus,TH-91,3D小丑,3D小丑,3D Circus,3D ลัคกี้ตัวตลก,3D 피에로,3D လူရႊင္ေတာ္,Joker 3D,Chú Hề 3D,3Ｄ クラウン,,,
G_Name_3DDog,TH-92,3D賽狗,3D赛狗,3D Dog,ลัคกี้ดอร์ส,3D 개 경기,3D ၿပိဳင္ေခြး,Balap Anjing 3D,Đua Chó 3D,3Ｄドッグレース,,,
G_Name_3DPirate,TH-93,海盜,海盗,3D Pirate,โจรสลัด,해적,ပင္လယ္ဓားျမ,Bajak Laut,Cướp Biển,海賊,,,
G_Name_5Dragons,TH-94,五龍爭霸,五龙争霸,Five Dragons,ห้ามังกร,5 드래곤스,နဂါး5ေကာင်,5 NAGA,5 Rồng Tranh Bá,5ドラゴン,,,
G_Name_5PK,TH-95,5PK,5PK,5PK,,,,,,,,,
G_Name_6Holdem,TH-96,6+Hold'em,6+Hold'em,6+Hold'em,,,,,,,,,
G_Name_72Changes,TH-97,七十二變,七十二变,72 Changes,72 อิทธิฤทธิ์,72 변신,72 မ်ိဳးေျပာင္း,72 Perubahan,72 Phép Biến Hóa,72変身,,,
G_Name_AERoom,TH-98,Ameba,Ameba,Ameba,,,,,,,,,
G_Name_AParty,TH-99,動物樂園,动物乐园,Animal Party,ราชาสัตว์ป่า,동물락원,တိရိစာၦန္ပါတီ,Surga Binatang,Bữa Tiệc Động Vật,動物楽園,,,
G_Name_Africa,TH-100,非洲,非洲,Africa,แอฟริกา,아프리카,အာဖရိက,Afrika,Châu Phi,アフリカ,,,
G_Name_Alibaba,TH-101,阿里巴巴,阿里巴巴,Alibaba,อาลีบาบา,알리바바,အာလီဘားဘား,Alibaba,Alibaba,ありパパ,,,
G_Name_AndarBahar,TH-102,安達巴哈,安达巴哈,AndarBahar,แอนดาร์ บาฮาร์,안다바하,AndarBahar,AndarBahar,AndarBahar,アンダ バハール,Andar Bahar,Andar Bahar,ແອນດາ/ບາຮາ
G_Name_AngryBear,TH-103,暴怒棕熊,暴怒棕熊,Angry Bear,หมีโกรธ,화난곰,ေဒါသအိုးဝက္ဝံ,Beruang Coklat Marah,Gấu Nâu Giận Giữ,プンプン怒るベア,,,
G_Name_AnyPair,TH-104,任意對子,任意对子,AnyPair,คู่ใด ๆ,어느 하나의 페어,ႀကိဳက္ရာစံုဖဲ,Pasangan apapun,Lá đôi bất kỳ,任意のペア,Either pair,Culaquier par,ຄູ່ໃດໆ
G_Name_BAnimals,TH-105,飛禽走獸,飞禽走兽,Birds and Animals,นกและสัตว์,새와 짐승들,ငွက္နွင္႔တိရိစာၦန္,Burung dan binatang buas,Chim Muông và Động Vật,鳥と獣,,,
G_Name_BCBacc,TH-106,區塊鏈百家樂,区块链百家乐,Blockchain Baccarat,บล็อกเชน บาคาร่า,블록체인 바카라에,ရှမ်းကိုးမှီး အကွက်တွဲ,Blockchain Baccarat,Blockchain Baccarat,ブロックチェーン バカラ,blockchain baccarat,Cadena de bloques Bacarrá,ບລັອກເຊນບາຄາຣ່າ
G_Name_BCLongHu,TH-107,區塊鏈龍虎,区块链龙虎,BC Dragon Tiger,เสือมังกรบล็อกเชน,블록체인 용호,ဗလော့ချိန်းကျားနဂါး,Harimau Naga BC,Rồng Hổ Blockchain,ブロックチェーン竜虎,Rantaian blok Dragon Tiger,Cadena de bloques Dragón Tigre,ບລັອກເຊນເສືອມັງກອນ
G_Name_BCSDD,TH-108,區塊鏈射龍門,区块链射龙门,BC shoot dragon,บล็อกเชน ยิงประตูมังกร,블록체인 슈팅,ပလော့ချိန်းနဂါးပစ်,BC Tembak Gawang,Sút vào lưới BC,ブロックチェーン射龍門,Gol gantri blockchain,Cadena de bloques Tiro al Pórtico,ບລັອກເຊນ ຍິງປະຕູມັງກອນ
G_Name_BTycoon,TH-109,啤酒大亨,啤酒大亨,Beer Tycoon,โชกุนเบียร์,맥주 거물,ဘီယာသန္းၾကြယ္,Taipan Bir,Ông Trùm Bia,ビールタイクーン,,,
G_Name_Bacc,TH-110,百家樂,百家乐,Baccarat,บาคาร่า,바카라,ဘားကရာ,Baccarat,Baccarat,バカラ,Bakarat,Bacarrá,ບາຄາຣ່າ
G_Name_BananaSaga,TH-111,黃金香蕉帝國,黄金香蕉帝国,Banana Saga,อาณาจักรกล้วยทอง,황금 바나나 제국,ေရႊငွက္ေပ်ာအင္ပါရာ,Kekaisaran Pisang Emas,Đế Quốc Chuối Vàng,ゴールドバナナ帝国,,,
G_Name_BattleDice,TH-112,對戰骰子,对战骰子,The Battle Dice,ลูกเต๋าต่อสู้,주사위 대전,အန်စာတုံးြပိုင်ပွဲ,Pertandingan dadu,Xúc Xắc Chiến Đấu,バトルダイス,Dadu bertaruh,Dados de batalla,ໄຮໂລຕໍ່ສູ້
G_Name_Billiman,TH-113,九雞-億萬富翁,九鸡-亿万富翁,Gao Gae-Billionaire,เก้าเก มหาละลวย,Gao Gae-Billionaire,Gao Gae-Billionaire,Gao Gae-Billionaire,Gao Gae-Billionaire,Gao Gae-Billionaire,,,
G_Name_Billion,TH-114,億萬富翁,九鸡-亿万富翁,Billionaire,มหาเศรษฐี,빌리어네어,ဘီလီယံနာ,Milyarder,Tỷ Phú,億万長者,,,
G_Name_Bingo75,TH-115,Bingo75,Bingo75,Bingo75,,,ဘင္းဂိုး 75,,,ビンゴ75,,,
G_Name_BirdsParty,TH-116,飛鳥派對,飞鸟派对,BirdsParty,พรรคนก,새들의 파티,ငွက္ပါတီ,Pesta Burung,Bữa Tiệc Chim Bay,鳥のパーティー,,,
G_Name_Buffalo,TH-117,荒野水牛,荒野水牛,Buffalo,ควายป่า,버펄로,က်ြဲရိုင္း,Kerbau Liar,Trâu Hoang Dã,荒地のブル,,,
G_Name_BullBull,TH-118,牛牛,牛牛,BullBull,นิวนิว,불 파이트,ႏြားႏြား,Niu Niu,Bull Bull,ニュウニュウ,Niu Niu,Bull,ນິວນິວ
G_Name_Burglar,TH-119,神偷妙賊,神偷妙贼,Burglar,พระเจ้าขโมย,절도범,ေရႊသူခိုး,Pencuri,Tên Trộm Danh Ma,泥棒,,,
G_Name_CDoeuvre,TH-120,料理廚王,料理厨王,Chef-Doeuvre,สุดยอดเชฟ,요리 셰프왕,စားဖိုမွဴးႀကီး,MasterChef,Vua Đầu Bếp,シェフ,,,
